mat_id, formula,Weyl Point?
 mp-19210, Co3Pt3O6,N
 mp-22660, Ag3In3O6,N
 mp-4636, Cu3Sc3O6,N
 mp-978857, Hg3Sr3O6,N
 mp-996981, Au3Tl3O6,N
 mp-997161, Au3Co3O6,N
 mp-11231, Al3Y,N
 mp-11248, Au3Li,N
 mp-11290, CaSn3,N
 mp-11318, CePt3,N
 mp-11474, Hg3Tl,N
 mp-11501, MnNi3,N
 mp-11504, MnZn3,N
 mp-11517, NbRu3,N
 mp-11522, Ni3Sn,N
 mp-1339, Ir3Nb,N
 mp-1911, CeSn3,N
 mp-20206, In3Th,N
 mp-20214, Ga3U,N
 mp-20225, CePb3,N
 mp-20336, Sn3U,N
 mp-20369, CeIn3,N
 mp-20603, CeTl3,N
 mp-20695, InZr3,N
 mp-20821, Ga3Np,N
 mp-20849, PbPd3,N
 mp-20941, In3U,N
 mp-21008, Ni3Ge,N
 mp-21289, TiZn3,N
 mp-21381, Pb3Th,N
 mp-21432, LaPb3,N
 mp-21482, In3Np,N
 mp-21845, FePd3,N
 mp-2393, Tl3Y,N
 mp-2403, Pt3Y,N
 mp-2677, Pd3Sc,N
 mp-30741, Ir3Pa,N
 mp-30760, Li12Pb4,N
 mp-30777, MgPt3,N
 mp-481, Pt3Sc,N
 mp-861931, LiPt3,N
 mp-861936, LiPd3,N
 mp-861939, Ac3Sn,N
 mp-861982, Ga3Pa,N
 mp-861987, In3Pa,N
 mp-862559, Cd12La4,N
 mp-862816, PaGe3,N
 mp-862820, PaSi3,N
 mp-862861, Pa3Si,N
 mp-862862, Pa3Sb,N
 mp-862863, Pa3Te,N
 mp-862864, Pa3Ge,N
 mp-865382, Ru4V12,N
 mp-867343, Cd4Li12,N
 mp-972071, Mo4V12,N
 mp-976412, Li12Zn4,N
 mp-1008555, AlCu3,N
 mp-1027, HfRh3,N
 mp-1089, Ir3Ti,N
 mp-10890, Al3Li,N
 mp-1094768, MgZr3,N
 mp-1094839, Cd3Mg,N
 mp-11358, Co3Ta,N
 mp-1183137, Ag3Au,N
 mp-1184768, IrRh3,N
 mp-1184771, Ir3Rh,N
 mp-1186074, Na12Pd4,N
 mp-1187105, CaSr3,N
 mp-1187243, Os3Ta,N
 mp-1187257, TaZn3,N
 mp-1187452, Pt3Th,N
 mp-1263, Ru3U,N
 mp-1264, Au3Cd,N
 mp-12798, Ni3Pt,N
 mp-1471, AlZr3,N
 mp-1518, CeRh3,N
 mp-2001, LaTl3,N
 mp-20131, In3Y,N
 mp-20729, In3La,N
 mp-2258, AuCu3,N
 mp-23159, Bi3Sr,N
 mp-2449, NbRh3,N
 mp-265, Ir3Ta,N
 mp-2863, Cd12Ce4,N
 mp-30825, PaRh3,N
 mp-30856, Pt3Zn,N
 mp-435, Sn3Th,N
 mp-569125, InMg3,N
 mp-674, LaPd3,N
 mp-867226, In4Li12,N
 mp-977390, Ru4Ta12,N
 mp-977434, Nb12Ru4,N
 mp-979289, Ta4W12,N
 mp-1007656, HfPd3,N
 mp-1007974, CrNi3,N
 mp-1018021, Co3Nb,N
 mp-1018054, HfPt3,N
 mp-1044, Ir3U,N
 mp-10596, FeIr3,N
 mp-1094670, LiMg3,N
 mp-1152, Rh3Ti,N
 mp-1186970, Sc3Sn,N
 mp-12083, CrIr3,N
 mp-12086, Cu3Pt,N
 mp-1219533, IrRe,N
 mp-1220023, OsRu,N
 mp-12585, CrRh3,N
 mp-12593, Ir3Sc,N
